sgi,glint_alpha,sid
-0.6512604972139661,28.647562,20230830T162839_20230830T164019_T15QWB
-0.7395537517997856,33.87357,20230830T162839_20230830T164019_T15QWB
-0.7099630851896054,33.264763,20230830T162839_20230830T164019_T15QWB
-0.7121001521206569,29.387058,20230830T162839_20230830T164019_T15QWB
-0.7212073167201292,31.167606,20230830T162839_20230830T164019_T15QWB
-0.5632582299418659,26.19379,20230830T162839_20230830T164019_T15QWB
-0.7565632428526801,30.00713,20230830T162839_20230830T164019_T15QWB
-0.7432377828284765,33.87357,20230830T162839_20230830T164019_T15QWB
-0.7275902413314717,31.419193,20230830T162839_20230830T164019_T15QWB
-0.7703703675597947,32.74429,20230830T162839_20230830T164019_T15QWB
-0.6998896624232439,31.671305,20230830T162839_20230830T164019_T15QWB
-0.681092065966007,27.112549,20230830T162839_20230830T164019_T15QWB
-0.5790363464570302,25.586426,20230830T162839_20230830T164019_T15QWB
-0.697682244752261,28.54323,20230830T162839_20230830T164019_T15QWB
-0.6449934758672304,29.701305,20230830T162839_20230830T164019_T15QWB
-0.78534031215763,31.546804,20230830T162839_20230830T164019_T15QWB
-0.7138531523827928,31.7719,20230830T162839_20230830T164019_T15QWB
-0.7553956824891853,33.350384,20230830T162839_20230830T164019_T15QWB
-0.5646916535670572,28.650204,20230830T162839_20230830T164019_T15QWB
-0.6253658462123884,27.296268,20230830T162839_20230830T164019_T15QWB
-0.7106873056061008,28.753443,20230830T162839_20230830T164019_T15QWB
-0.7171635942234573,30.310953,20230830T162839_20230830T164019_T15QWB
-0.7351632025336395,33.46364,20230830T162839_20230830T164019_T15QWB
-0.661016939119622,30.431623,20230830T162839_20230830T164019_T15QWB
-0.7020626312380454,31.647646,20230830T162839_20230830T164019_T15QWB
-0.6933979834472679,29.80398,20230830T162839_20230830T164019_T15QWB
-0.7531348081387795,33.87972,20230830T162839_20230830T164019_T15QWB
-0.6294399835433959,27.667568,20230830T162839_20230830T164019_T15QWB
-0.7273833813759759,30.840498,20230830T162839_20230830T164019_T15QWB
-0.715361457934372,30.79394,20230830T162839_20230830T164019_T15QWB
-0.6709401637965613,29.068624,20230830T162839_20230830T164019_T15QWB
-0.7615415541172137,32.295975,20230830T162839_20230830T164019_T15QWB
-0.5361678431929643,25.905903,20230830T162839_20230830T164019_T15QWB
-0.6295092683002482,26.843655,20230830T162839_20230830T164019_T15QWB
-0.7555465952228403,30.692696,20230830T162839_20230830T164019_T15QWB
-0.7012172475682303,30.467676,20230830T162839_20230830T164019_T15QWB
-0.679622229586425,29.802757,20230830T162839_20230830T164019_T15QWB
-0.60258480021605,26.843655,20230830T162839_20230830T164019_T15QWB
-0.7679153248521475,32.74429,20230830T162839_20230830T164019_T15QWB
-0.7806080596624368,33.79161,20230830T162839_20230830T164019_T15QWB
-0.6819788107268259,29.175097,20230830T162839_20230830T164019_T15QWB
-0.7754527169312138,34.11471,20230830T162839_20230830T164019_T15QWB
-0.5818237586797004,26.495987,20230830T162839_20230830T164019_T15QWB
-0.7880032763576652,34.514404,20230830T162839_20230830T164019_T15QWB
-0.6273917544360778,28.218843,20230830T162839_20230830T164019_T15QWB
-0.6347656310396131,26.740547,20230830T162839_20230830T164019_T15QWB
-0.756038637562249,30.06185,20230830T162839_20230830T164019_T15QWB
-0.7445802205245452,33.14989,20230830T162839_20230830T164019_T15QWB
-0.6667884429651444,30.591402,20230830T162839_20230830T164019_T15QWB
-0.714617174988729,31.748337,20230830T162839_20230830T164019_T15QWB
-0.7244063688544264,31.192396,20230830T162839_20230830T164019_T15QWB
-0.7396358086335832,31.318624,20230830T162839_20230830T164019_T15QWB
-0.7705592109136699,34.07832,20230830T162839_20230830T164019_T15QWB
-0.7693231842225889,30.233953,20230830T162839_20230830T164019_T15QWB
-0.7425101275391978,34.499382,20230830T162839_20230830T164019_T15QWB
-0.5896551511517313,25.89527,20230830T162839_20230830T164019_T15QWB
-0.7163720322844365,30.01533,20230830T162839_20230830T164019_T15QWB
-0.7673860943406053,32.41217,20230830T162839_20230830T164019_T15QWB
-0.7535545045661344,34.295357,20230830T162839_20230830T164019_T15QWB
-0.6961498417948511,30.24298,20230830T162839_20230830T164019_T15QWB
-0.6159029636147633,27.378468,20230830T162839_20230830T164019_T15QWB
-0.73242267124816,31.167606,20230830T162839_20230830T164019_T15QWB
-0.7242206071926494,30.94151,20230830T162839_20230830T164019_T15QWB
-0.5731444258853006,26.721111,20230830T162839_20230830T164019_T15QWB
-0.7452596901356301,30.412197,20230830T162839_20230830T164019_T15QWB
-0.6272666040497634,31.647646,20230830T162839_20230830T164019_T15QWB
-0.699794369526862,29.387058,20230830T162839_20230830T164019_T15QWB
-0.7950386428229759,34.21681,20230830T162839_20230830T164019_T15QWB
-0.6159068953496237,27.686972,20230830T162839_20230830T164019_T15QWB
-0.6678726619550507,28.647562,20230830T162839_20230830T164019_T15QWB
-0.5987381771755962,26.205,20230830T162839_20230830T164019_T15QWB
