lat,lon,start,end,note
-25.674625320210748,-43.211757066249554,2023-05-03,2023-05-07,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-05-28,2023-06-01,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-06-07,2023-07-01,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-07-07,2023-07-11,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-07-27,2023-08-15,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-08-31,2023-09-24,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-10-10,2023-10-14,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-10-20,2023-10-24,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-10-30,2023-11-18,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2023-12-14,2023-12-23,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2024-01-08,2024-01-12,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2024-01-28,2024-02-06,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2024-02-12,2024-02-16,possible venting from flaring dataset
-25.674625320210748,-43.211757066249554,2024-03-03,2024-03-07,possible venting from flaring dataset
